id,province,carcolour,hp,gender,age,lic_years,pastclaims,exp_years
7003,FS,Silver,102,0,25,6,0,0.016427105
7004,KZN,Red,80,0,49,31,1,0.394250513
7005,FS,Silver,161,1,42,24,0,0.106776181
7006,NW,Yellow,139,0,78,59,0,0.106776181
7007,KZN,White,187,0,86,67,2,0.002737851
7008,EC,White,58,0,31,12,1,0.410677618
7009,MP,Black,96,1,36,18,4,0.027378508
7010,WC,White,183,1,84,64,0,0.17522245
7011,FS,Green,52,1,64,46,0,0.17522245
7012,KZN,Blue,132,1,21,2,0,0.07118412
7013,WC,Blue,125,0,60,42,0,0.320328542
7014,NW,Blue,113,1,60,42,1,0.1724846
7015,WC,White,75,1,46,27,0,0.205338809
7016,GP,Silver,154,1,20,1,2,0.227241615
7017,EC,White,109,1,52,33,1,0.249144422
7018,MP,Black,60,1,76,58,1,0.396988364
7019,MP,Red,59,1,82,64,1,0.473648186
7020,KZN,Silver,83,0,77,58,1,0.364134155
7021,GP,White,115,0,62,44,2,0.355920602
7022,EC,White,205,1,37,18,0,0.369609856
7023,KZN,Black,28,1,32,13,0,0.314852841
7024,EC,White,135,0,52,33,1,0.087611225
7025,MP,White,67,0,23,5,3,0.021902806
7026,WC,White,83,1,49,31,1,0.45174538
7027,GP,White,118,0,68,50,0,0.468172485
7028,NW,White,134,1,46,28,0,0.470910335
7029,WC,White,54,0,76,57,1,0.380561259
7030,EC,White,56,0,72,54,0,0.076659822
7031,MP,White,52,0,25,7,1,0.424366872
7032,NW,Red,146,1,56,38,4,0.079397673
7033,WC,White,38,0,60,41,1,0.251882272
7034,WC,Silver,53,0,54,36,3,0.17522245
7035,MP,White,87,1,42,23,0,0.361396304
7036,NW,Black,117,0,67,48,0,0.052019165
7037,EC,Silver,149,1,55,36,1,0.073921971
7038,NW,Silver,74,1,41,23,1,0.490075291
7039,WC,White,191,1,84,66,1,0.082135524
7040,WC,Blue,137,1,64,45,1,0.013689254
7041,MP,White,184,0,80,60,2,0.454483231
7042,KZN,Yellow,148,0,29,10,0,0.161533196
7043,NW,Black,108,1,60,42,2,0.476386037
7044,NW,Black,86,1,57,39,2,0.405201916
7045,KZN,White,186,0,77,59,1,0.038329911
7046,MP,Blue,103,0,29,11,1,0.232717317
7047,WC,White,67,1,32,14,0,0.082135524
7048,EC,Black,173,1,21,3,4,0.375085558
7049,EC,Blue,140,0,67,49,1,0.128678987
7050,NW,Black,133,0,23,5,1,0.087611225
7051,FS,Red,176,1,38,19,0,0.093086927
7052,EC,Silver,186,0,31,13,1,0.136892539
7053,KZN,Blue,92,1,36,18,2,0.010951403
7054,NW,White,86,1,36,17,2,0.229979466
7056,WC,White,178,0,85,67,0,0.27926078
7058,FS,White,109,0,22,3,0,0.410677618
7059,MP,Green,88,0,66,48,2,0.31211499
7060,NW,Black,75,0,43,25,0,0.002737851
7061,GP,Red,150,0,81,63,1,0.323066393
7062,WC,Red,99,1,64,46,2,0.479123888
7063,WC,Yellow,108,1,80,61,4,0.156057495
7064,GP,White,135,0,36,18,1,0.262833676
7065,EC,White,103,1,44,26,2,0.271047228
7067,WC,Blue,136,0,48,30,0,0.065708419
7068,KZN,Silver,250,1,63,44,0,0.388774812
7069,EC,White,106,0,78,60,1,0.030116359
7070,FS,Red,106,1,26,7,0,0.449007529
7071,FS,Red,134,1,51,33,0,0.128678987
7072,NW,Blue,282,0,39,21,1,0.246406571
7073,NW,Yellow,101,1,78,60,0,0.361396304
7074,WC,Blue,79,0,42,24,1,0.435318275
7075,MP,White,218,1,30,12,3,0.314852841
7076,WC,Yellow,134,1,85,67,1,0.191649555
7077,KZN,Red,146,1,24,6,4,0.303901437
7078,KZN,Blue,132,0,26,7,1,0.169746749
7079,FS,Blue,52,0,22,2,0,0.199863107
7080,WC,White,155,0,43,23,1,0.38329911
7081,KZN,White,194,1,23,5,1,0.20807666
7082,FS,White,107,0,18,0,0,0.019164956
7083,WC,White,149,0,65,47,5,0.060232717
7084,NW,Red,133,0,38,20,2,0.027378508
7085,GP,White,171,0,31,13,1,0.372347707
7086,NW,Green,118,1,53,34,1,0.295687885
7087,GP,Blue,228,1,35,16,1,0.030116359
7088,WC,White,136,1,69,50,1,0.087611225
7089,KZN,Green,120,0,44,25,1,0.309377139
7090,GP,White,259,0,23,4,0,0.31211499
7091,KZN,Red,58,0,54,36,0,0.271047228
7092,KZN,White,123,1,25,6,2,0.328542094
7094,NW,Yellow,83,1,49,30,1,0.093086927
7095,KZN,Red,300,1,27,9,1,0.287474333
7096,GP,White,143,1,22,4,1,0.459958932
7097,WC,White,85,1,34,16,0,0.358658453
7098,GP,White,85,0,36,17,0,0.043805613
7099,KZN,White,113,1,50,31,1,0.194387406
7101,FS,White,67,1,18,0,1,0.468172485
7102,WC,White,131,0,37,19,1,0.358658453
7103,GP,Black,104,1,43,25,3,0.24366872
7104,WC,Black,57,1,24,6,0,0.142368241
7105,KZN,Yellow,140,0,69,50,0,0.287474333
7106,FS,White,115,1,42,24,0,0.008213552
7107,FS,White,70,0,26,7,1,0.388774812
7108,EC,Red,121,0,78,60,2,0.032854209
7109,WC,White,76,1,39,20,1,0.06844627
7110,FS,Silver,197,1,32,13,0,0.229979466
7111,FS,White,219,0,25,6,1,0.07118412
7112,WC,Silver,165,1,22,4,0,0.449007529
7113,FS,Red,204,1,75,56,2,0.355920602
7114,NW,White,109,0,64,46,3,0.194387406
7115,GP,Black,127,0,71,53,1,0.281998631
7116,WC,White,209,0,22,4,0,0.010951403
7117,MP,Blue,185,0,78,60,1,0.136892539
7118,KZN,Blue,98,1,77,58,1,0.334017796
7120,NW,Black,69,0,26,7,0,0.123203285
7121,WC,White,73,0,27,9,0,0.057494867
7122,FS,White,128,0,55,36,1,0.131416838
7123,WC,Silver,165,1,49,30,1,0.054757016
7124,EC,Silver,79,1,41,23,0,0.150581793
7125,GP,White,146,1,45,26,0,0.490075291
7126,WC,White,112,1,50,32,0,0.180698152
7127,KZN,Silver,157,0,63,45,0,0.284736482
7128,GP,White,128,1,69,50,2,0.101300479
7129,FS,Black,220,0,40,21,1,0.449007529
7130,WC,Red,70,1,28,9,0,0.183436003
7131,EC,White,188,0,37,18,1,0.405201916
7132,KZN,Yellow,173,0,22,4,2,0.021902806
7133,EC,White,148,1,57,39,1,0.134154689
7134,WC,Red,118,0,77,59,1,0.145106092
7135,GP,Yellow,401,0,53,35,1,0.342231348
7136,EC,Red,42,1,31,13,0,0.290212183
7137,EC,Red,154,0,25,7,0,0.194387406
7138,KZN,Blue,96,0,26,7,1,0.147843943
7139,GP,Black,139,0,66,48,1,0.290212183
7140,MP,Black,75,1,25,6,1,0.125941136
7141,FS,White,91,0,25,6,0,0.153319644
7142,WC,Black,69,0,19,0,0,0.473648186
7144,MP,White,80,1,19,1,1,0.150581793
7145,KZN,White,96,1,39,20,0,0.405201916
7146,EC,White,71,1,77,59,0,0.380561259
7147,EC,White,130,1,50,31,3,0.06844627
7148,KZN,Black,45,0,67,49,1,0.060232717
7149,EC,Black,84,1,42,23,0,0.473648186
7150,WC,Green,172,0,43,25,1,0.470910335
7151,KZN,Silver,101,1,62,43,0,0.287474333
7152,EC,White,111,1,65,46,1,0.240930869
7153,GP,Blue,263,0,56,38,1,0.167008898
7154,KZN,Blue,59,1,20,2,1,0.062970568
7155,WC,Green,221,0,62,43,0,0.186173854
7156,FS,Red,55,0,29,11,0,0.238193018
7157,WC,White,158,0,74,56,0,0.183436003
7158,WC,White,104,0,23,4,3,0.325804244
7159,WC,White,188,0,55,36,4,0.229979466
7160,FS,Blue,104,0,83,64,0,0.284736482
7161,FS,Red,75,0,54,36,1,0.161533196
7162,GP,Black,118,0,63,45,0,0.027378508
7163,GP,White,153,0,25,7,0,0.183436003
7164,WC,White,152,1,82,63,3,0.366872005
7165,EC,Yellow,88,1,39,21,3,0.34770705
7166,WC,Black,88,0,40,21,2,0.238193018
7167,WC,White,87,1,61,42,0,0.386036961
7168,NW,Blue,193,1,43,24,0,0.183436003
7169,KZN,Blue,175,1,68,50,1,0.364134155
7170,KZN,Black,169,1,53,34,1,0.331279945
7171,GP,Black,58,0,32,13,1,0.48733744
7172,WC,Black,65,0,83,63,0,0.112251882
7173,EC,White,110,1,62,43,0,0.295687885
7174,NW,Red,221,0,24,5,1,0.030116359
7175,KZN,Silver,178,1,25,7,0,0.377823409
7176,GP,Yellow,131,0,42,23,0,0.366872005
7177,GP,Red,196,0,25,6,0,0.339493498
7178,EC,Black,174,0,80,60,1,0.073921971
7179,LIM,White,150,0,34,15,2,0.407939767
7180,KZN,Silver,160,1,24,5,1,0.462696783
7181,EC,Green,80,1,59,41,0,0.355920602
7182,KZN,Red,138,1,76,57,1,0.265571526
7183,GP,Red,136,1,78,60,1,0.221765914
7184,GP,White,57,0,21,3,0,0.153319644
7185,FS,White,361,0,27,8,4,0.438056126
7186,NW,Red,197,1,66,47,1,0.421629021
7187,FS,White,216,1,40,22,0,0.213552361
7188,WC,Black,81,1,26,7,2,0.117727584
7189,NC,Red,135,1,18,0,1,0.254620123
7190,FS,Silver,148,0,35,17,0,0.1724846
7191,GP,Red,75,1,36,18,0,0.334017796
7192,GP,Blue,127,0,21,2,1,0.380561259
7193,MP,White,116,1,70,52,0,0.342231348
7194,EC,Silver,117,0,66,47,1,0.010951403
7195,WC,Red,171,1,34,15,0,0.440793977
7197,EC,White,113,0,26,7,1,0.490075291
7198,EC,Silver,69,0,21,3,0,0.254620123
7200,WC,White,181,1,72,53,1,0.336755647
7201,NW,White,141,0,43,25,0,0.073921971
7202,EC,Green,115,1,50,32,4,0.290212183
7203,KZN,White,121,1,82,64,0,0.090349076
7204,NW,Green,65,1,22,3,0,0.388774812
7205,FS,White,185,0,56,37,1,0.084873374
7206,FS,Green,115,0,63,44,0,0.240930869
7207,FS,Silver,86,0,53,35,1,0.021902806
7208,GP,Blue,232,0,20,2,1,0.120465435
7209,GP,Silver,195,1,24,6,0,0.235455168
7210,GP,Yellow,154,0,35,16,2,0.221765914
7211,FS,White,94,0,54,36,2,0.041067762
7212,FS,Red,85,0,60,41,1,0.440793977
7213,WC,Red,80,0,79,60,2,0.358658453
7214,EC,Black,57,1,41,23,0,0.262833676
7215,GP,Blue,41,1,51,33,0,0.224503765
7217,FS,Silver,127,1,21,3,1,0.454483231
7218,GP,White,113,0,86,68,1,0.457221081
7219,NW,Silver,69,0,73,55,1,0.065708419
7220,MP,White,241,0,81,62,2,0.481861739
7221,GP,Red,72,1,69,50,1,0.479123888
7222,FS,Silver,248,0,21,3,0,0.150581793
7223,GP,Silver,133,1,65,47,2,0.396988364
7224,GP,Red,226,0,83,64,4,0.334017796
7225,WC,Red,242,1,44,26,2,0.021902806
7226,WC,Red,94,1,34,15,0,0.191649555
7227,WC,White,259,0,24,6,0,0.476386037
7229,WC,Black,164,0,58,38,0,0.123203285
7230,WC,White,168,1,51,33,0,0.216290212
7231,GP,Red,88,1,53,35,3,0.235455168
7232,KZN,Red,159,1,41,23,1,0.45174538
7233,WC,Blue,128,0,38,20,4,0.180698152
7234,WC,White,139,0,43,24,0,0.145106092
7235,WC,Yellow,67,1,46,28,0,0.082135524
7236,GP,Silver,161,1,20,1,1,0.202600958
7237,LIM,Black,104,0,58,40,1,0.219028063
7238,GP,Red,55,1,85,65,1,0.45174538
7239,GP,Green,176,1,39,21,2,0.199863107
7240,WC,Silver,105,0,61,43,1,0.465434634
7241,KZN,Yellow,65,1,47,28,0,0.098562628
7242,FS,Red,111,0,68,50,1,0.298425736
7243,GP,White,71,1,19,0,3,0.164271047
7244,WC,Silver,141,0,49,31,1,0.038329911
7245,MP,Blue,84,1,85,66,0,0.465434634
7246,WC,White,137,1,81,63,2,0.076659822
7247,WC,White,43,1,62,44,2,0.005475702
7248,KZN,Red,108,0,45,27,2,0.07118412
7249,KZN,Yellow,213,1,27,8,1,0.446269678
7250,KZN,Silver,162,0,60,42,0,0.459958932
7251,WC,Green,119,1,48,30,1,0.101300479
7252,GP,Red,76,1,39,21,0,0.281998631
7253,GP,White,159,0,36,17,2,0.156057495
7254,EC,White,205,0,53,35,1,0.087611225
7255,WC,Blue,112,1,19,0,1,0.317590691
7256,NW,White,61,1,58,40,0,0.479123888
7257,GP,White,202,0,85,65,1,0.353182752
7258,MP,White,91,1,43,24,2,0.197125257
7259,WC,White,151,0,21,3,1,0.030116359
7260,KZN,Red,153,0,20,1,1,0.394250513
7261,WC,Green,69,0,71,52,0,0.057494867
7262,KZN,White,82,1,53,35,1,0.457221081
7263,LIM,Silver,67,0,73,55,0,0.019164956
7264,NW,White,117,1,66,48,0,0.156057495
7265,MP,Green,210,0,20,1,0,0.454483231
7266,KZN,Green,42,0,24,5,2,0.180698152
7267,WC,Black,117,0,19,1,3,0.473648186
7268,FS,White,41,1,65,47,1,0.366872005
7269,WC,Yellow,149,1,24,6,1,0.114989733
7270,KZN,White,73,1,59,41,1,0.123203285
7271,MP,White,249,1,24,5,0,0.468172485
7272,EC,Silver,259,0,52,33,0,0.492813142
7273,WC,Green,270,1,27,8,1,0.024640657
7274,MP,White,68,1,48,29,2,0.405201916
7275,KZN,Silver,126,0,59,40,1,0.114989733
7276,KZN,Black,140,1,74,56,1,0.361396304
7277,WC,Blue,127,1,30,12,0,0.03559206
7278,MP,Green,133,1,34,16,1,0.292950034
7279,EC,Black,351,1,72,53,3,0.432580424
7280,EC,Blue,58,1,40,22,1,0.314852841
7281,FS,Black,332,1,60,41,0,0.041067762
7282,KZN,Silver,47,1,64,46,1,0.164271047
7283,FS,White,250,0,59,40,2,0.112251882
7284,GP,Silver,112,0,42,24,0,0.295687885
7285,WC,Green,92,0,32,11,1,0.358658453
7286,KZN,Green,103,0,51,33,1,0.490075291
7287,WC,White,207,0,47,27,2,0.246406571
7288,GP,Red,84,0,76,57,0,0.229979466
7289,KZN,Black,94,1,33,15,1,0.038329911
7290,GP,Black,100,1,71,53,0,0.246406571
7291,FS,Black,152,1,76,58,1,0.20807666
7292,KZN,Yellow,109,1,38,20,3,0
7293,KZN,White,108,1,68,50,1,0.093086927
7294,EC,Blue,121,1,19,0,0,0.481861739
7295,WC,White,149,0,80,61,1,0.31211499
7296,GP,White,68,0,42,24,2,0.101300479
7297,GP,White,86,1,66,48,3,0.38329911
7298,MP,Black,83,1,57,39,0,0.169746749
7300,KZN,White,73,0,20,2,1,0.388774812
7301,KZN,Green,99,0,42,24,0,0.125941136
7302,GP,White,99,0,52,34,1,0.405201916
7303,NW,Green,117,0,62,44,0,0.1724846
7304,FS,Red,76,1,79,61,0,0.114989733
7305,KZN,Silver,175,0,24,6,0,0.065708419
7306,KZN,White,104,0,59,40,1,0.391512663
7307,GP,Blue,196,1,28,10,2,0.227241615
7308,WC,Red,67,1,78,60,2,0.427104723
7309,GP,White,179,0,84,66,1,0.054757016
7310,EC,Black,265,0,76,58,1,0.473648186
7311,WC,Red,136,1,59,40,1,0.306639288
7312,KZN,Yellow,54,1,73,54,1,0.317590691
7313,WC,White,89,1,61,41,0,0.364134155
7315,GP,Green,130,0,79,61,0,0.049281314
7316,EC,White,91,1,18,0,1,0.101300479
7317,EC,Green,89,0,83,65,4,0.101300479
7318,KZN,Red,239,0,26,8,2,0.268309377
7319,KZN,Black,92,0,67,48,1,0.084873374
7320,FS,White,50,0,83,64,0,0.271047228
7321,MP,Black,316,1,29,11,4,0.41889117
7322,KZN,Red,241,0,60,42,0,0.17522245
7323,GP,Silver,109,0,47,29,1,0.262833676
7324,KZN,White,132,0,46,28,0,0.150581793
7325,EC,Silver,150,1,29,10,2,0.06844627
7326,NW,White,122,1,40,21,1,0.161533196
7327,NW,Silver,151,1,76,58,1,0.219028063
7329,WC,Silver,200,1,30,12,1,0.240930869
7330,FS,Black,59,1,82,64,0,0.240930869
7331,EC,White,116,0,70,52,2,0.484599589
7332,LIM,Red,104,0,40,22,0,0.084873374
7333,GP,White,45,0,41,23,1,0.484599589
7334,FS,Black,49,0,57,39,1,0.287474333
7335,FS,Red,57,0,50,32,1,0.205338809
7336,WC,Black,142,1,28,9,1,0.232717317
7337,NW,Yellow,156,0,61,42,1,0.350444901
7338,NC,Blue,255,0,70,52,1,0.169746749
7339,NW,Black,129,1,72,54,0,0.446269678
7340,KZN,White,137,1,25,7,0,0.249144422
7341,WC,White,129,0,73,55,0,0.424366872
7342,WC,Yellow,135,0,36,17,1,0.027378508
7343,FS,Black,161,0,38,19,1,0.468172485
7344,KZN,White,266,1,84,65,2,0.043805613
7345,GP,White,50,0,44,26,1,0.317590691
7346,GP,Blue,248,1,83,64,2,0.317590691
7347,NW,Silver,67,0,29,11,1,0.213552361
7348,WC,Green,103,1,64,44,1,0.249144422
7349,WC,White,180,1,31,13,1,0.038329911
7350,KZN,White,105,0,64,46,0,0.043805613
7351,FS,White,68,1,32,13,2,0.31211499
7352,FS,Black,67,0,57,39,1,0.369609856
7353,MP,Yellow,123,0,54,36,1,0.202600958
7354,WC,Red,83,1,21,3,0,0.465434634
7355,WC,Red,84,1,21,1,0,0.290212183
7356,WC,Blue,71,0,40,22,1,0.164271047
7357,KZN,Red,93,1,39,20,1,0.229979466
7358,WC,Red,52,0,31,13,2,0.336755647
7359,MP,White,114,0,64,45,1,0.443531828
7360,EC,Green,87,0,22,4,1,0.123203285
7361,GP,White,129,0,81,62,1,0.221765914
7362,KZN,Red,134,1,39,20,1,0.454483231
7363,FS,Red,74,0,55,37,1,0.331279945
7364,MP,White,44,1,20,1,0,0.375085558
7365,NW,Green,51,1,20,1,0,0.38329911
7366,EC,White,90,0,40,22,2,0.054757016
7367,WC,Blue,43,1,19,1,1,0.098562628
7368,FS,Red,49,0,26,6,1,0.260095825
7369,FS,White,224,0,68,50,1,0.224503765
7370,KZN,White,253,0,46,28,1,0.358658453
7371,GP,White,57,0,43,25,1,0.17522245
7372,WC,White,96,0,27,9,1,0.03559206
7373,WC,Yellow,83,1,67,49,3,0.457221081
7374,EC,White,259,1,83,64,1,0.191649555
7375,NW,Blue,103,0,69,48,1,0.251882272
7376,KZN,Red,151,1,48,29,1,0.31211499
7377,NW,Blue,148,1,31,12,1,0.342231348
7378,WC,Red,256,1,60,42,2,0.470910335
7379,LIM,Black,202,1,37,18,4,0.45174538
7380,FS,Red,67,0,47,29,1,0.309377139
7381,WC,Silver,99,0,37,19,1,0.281998631
7382,GP,Black,62,1,57,39,0,0.27652293
7383,GP,Yellow,40,1,71,52,1,0.076659822
7384,GP,Silver,64,1,28,10,1,0.260095825
7385,WC,Blue,134,1,25,6,1,0.180698152
7386,WC,Black,267,1,67,49,1,0.043805613
7387,MP,White,83,0,38,20,1,0.271047228
7388,GP,Red,129,0,83,65,0,0.147843943
7389,MP,Black,142,0,23,5,3,0.049281314
7390,GP,White,206,1,44,26,0,0.117727584
7391,KZN,White,40,0,30,12,1,0.186173854
7392,GP,Green,144,0,78,59,0,0.002737851
7394,WC,White,70,1,31,13,1,0.479123888
7395,WC,White,116,1,62,43,2,0.073921971
7396,NW,Red,166,1,25,7,0,0.391512663
7397,FS,White,171,0,31,13,1,0.388774812
7398,KZN,Red,221,0,44,25,1,0.407939767
7399,WC,Black,108,0,71,53,0,0.48733744
7400,NC,White,229,1,86,67,2,0.167008898
7401,EC,White,95,0,44,25,0,0.235455168
7402,FS,Yellow,59,1,53,35,2,0.24366872
7403,GP,Blue,219,0,67,48,1,0.309377139
7404,WC,White,88,0,22,3,1,0.03559206
7405,FS,Red,137,1,60,42,1,0.216290212
7406,KZN,White,195,1,36,18,3,0.45174538
7407,FS,Black,267,1,25,6,1,0.240930869
7408,WC,White,86,0,81,63,1,0.388774812
7409,KZN,White,136,1,53,35,0,0.24366872
7410,MP,Blue,94,1,76,58,0,0.407939767
7411,WC,White,206,1,38,20,0,0.290212183
7412,MP,Black,107,1,41,23,1,0.147843943
7413,KZN,White,97,0,41,22,1,0.235455168
7414,EC,Black,186,1,64,44,3,0.07118412
7415,EC,White,182,0,24,5,1,0.438056126
7416,EC,White,144,1,48,30,1,0.197125257
7417,EC,White,102,0,70,50,1,0.161533196
7418,GP,White,108,1,38,20,1,0.016427105
7419,FS,Silver,83,1,35,16,0,0.45174538
7420,KZN,Silver,120,0,80,61,0,0.087611225
7421,GP,Red,80,1,59,41,0,0.281998631
7422,MP,White,137,1,61,42,1,0.087611225
7423,FS,White,211,0,65,47,1,0.079397673
7424,GP,White,126,0,63,45,0,0.375085558
7425,GP,White,98,1,22,4,1,0.251882272
7426,NW,White,121,0,25,7,2,0.490075291
7427,KZN,Black,220,1,34,16,0,0.20807666
7428,WC,White,177,1,46,28,0,0.435318275
7429,WC,Black,190,1,52,33,1,0.013689254
7430,KZN,White,120,0,24,6,1,0.358658453
7431,GP,White,143,0,74,56,2,0.309377139
7432,WC,White,134,1,24,5,1,0.030116359
7433,EC,Black,163,0,70,51,1,0.046543463
7434,GP,White,159,0,21,3,2,0.021902806
7435,LIM,Black,169,1,25,6,3,0.20807666
7436,KZN,Silver,114,0,61,43,1,0.093086927
7437,WC,Red,146,1,83,65,2,0.20807666
7438,WC,Red,134,0,57,38,1,0.306639288
7439,KZN,White,109,0,60,42,0,0.262833676
7440,EC,Blue,249,1,32,14,1,0.284736482
7441,WC,Red,103,0,76,58,1,0.010951403
7443,EC,Green,110,0,41,23,1,0.183436003
7444,WC,Silver,94,0,22,3,1,0.240930869
7445,MP,Silver,374,1,80,62,4,0.38329911
7446,WC,White,80,0,40,22,2,0.227241615
7447,WC,White,142,1,54,35,2,0.48733744
7448,GP,White,353,0,31,13,0,0.41615332
7449,GP,White,128,1,25,6,0,0.432580424
7450,WC,White,136,0,51,32,2,0.386036961
7451,EC,White,112,0,22,4,1,0.010951403
7452,FS,Red,89,0,54,36,0,0.164271047
7453,EC,White,178,0,19,1,1,0.10403833
7454,MP,White,48,1,72,53,1,0.197125257
7455,WC,Black,73,1,23,5,0,0.232717317
7456,EC,Red,262,0,75,57,0,0.424366872
7457,FS,Silver,160,0,35,16,1,0.054757016
7458,WC,White,108,0,71,52,1,0.41889117
7459,KZN,Black,224,0,27,9,0,0.057494867
7460,KZN,White,177,1,69,50,1,0.490075291
7461,GP,White,100,1,85,66,1,0.273785079
7462,GP,White,96,1,48,29,2,0.194387406
7463,NW,Red,152,1,46,27,1,0.45174538
7464,MP,White,114,0,50,31,0,0.232717317
7465,WC,Green,72,0,43,24,0,0.317590691
7466,MP,White,130,0,29,8,1,0.257357974
7467,WC,White,121,1,25,7,1,0.386036961
7468,NW,Red,117,0,41,22,4,0.041067762
7469,WC,Blue,226,1,21,3,4,0.216290212
7470,EC,Silver,84,0,61,43,0,0.062970568
7471,KZN,Silver,112,1,69,51,1,0.454483231
7472,NW,White,204,1,44,26,1,0.06844627
7473,NW,Red,79,1,54,35,2,0.473648186
7474,WC,White,166,1,29,11,0,0.479123888
7475,WC,Silver,127,0,21,2,1,0.238193018
7476,EC,White,74,1,56,38,0,0.465434634
7477,WC,White,91,0,31,12,0,0.24366872
7478,WC,Red,136,1,32,14,1,0.13963039
7479,GP,White,144,1,77,58,0,0.123203285
7480,EC,Red,148,0,25,7,1,0.45174538
7481,KZN,White,129,0,36,17,3,0.386036961
7482,WC,Red,148,1,26,8,4,0.443531828
7483,WC,Black,97,1,61,43,3,0.041067762
7484,NW,Green,72,0,64,46,0,0.205338809
7485,EC,Silver,249,0,21,3,0,0.27926078
7486,EC,White,159,1,49,31,1,0.339493498
7487,KZN,Silver,40,0,76,57,2,0.394250513
7488,WC,White,173,1,24,5,0,0.249144422
7489,WC,White,183,1,25,6,1,0.421629021
7490,EC,White,100,0,33,15,0,0.177960301
7491,MP,Silver,106,0,53,34,1,0.010951403
7492,WC,Red,79,0,25,7,0,0.177960301
7493,EC,Red,317,0,21,2,1,0.20807666
7494,KZN,Black,98,1,21,3,1,0.227241615
7495,KZN,White,75,1,78,59,1,0.295687885
7496,EC,Black,168,0,29,10,1,0.429842574
7497,NC,White,78,0,28,10,4,0.076659822
7498,FS,White,128,1,47,29,1,0.016427105
7499,GP,Red,66,1,32,14,1,0.021902806
7500,MP,Green,187,0,73,55,1,0.424366872
7501,MP,White,84,1,30,12,1,0.301163587
7502,GP,White,114,0,19,0,1,0.221765914
7503,GP,Silver,150,0,34,16,0,0.043805613
7504,KZN,Green,94,0,62,43,0,0.180698152
7505,WC,Silver,85,1,34,16,0,0.210814511
7506,GP,Green,155,0,29,11,0,0.314852841
7507,WC,Blue,121,0,23,5,0,0.292950034
7508,WC,Red,71,0,71,53,1,0.128678987
7509,FS,Silver,82,0,66,47,2,0.238193018
7510,WC,Red,172,0,47,29,5,0.010951403
7511,WC,Yellow,96,1,55,35,0,0.199863107
7512,NW,White,82,0,41,23,0,0.260095825
7513,GP,Red,97,0,77,59,0,0.353182752
7514,GP,Black,86,0,42,24,1,0.194387406
7515,FS,White,57,1,29,10,2,0.082135524
7516,KZN,Blue,131,0,63,44,0,0.394250513
7517,LIM,Blue,132,0,29,11,1,0.1724846
7518,FS,Black,89,0,23,5,2,0.377823409
7519,FS,Green,335,0,86,67,2,0.167008898
7520,GP,Red,67,0,79,60,2,0.095824778
7521,EC,Red,64,0,33,15,0,0.150581793
7522,NW,Silver,126,1,21,3,0,0.303901437
7523,EC,Green,178,0,34,15,1,0.427104723
7524,GP,Red,148,1,23,5,0,0.128678987
7525,NW,Yellow,90,1,50,31,2,0.06844627
7527,FS,Blue,322,1,75,55,0,0.002737851
7528,WC,Yellow,69,1,31,13,0,0.156057495
7529,GP,Green,221,0,59,41,1,0.262833676
7530,EC,Silver,152,0,30,12,0,0.114989733
7531,WC,White,93,1,60,41,2,0.292950034
7532,EC,White,169,0,33,15,2,0.106776181
7533,EC,Blue,148,1,37,19,0,0.251882272
7534,EC,Red,52,1,47,27,1,0.049281314
7535,MP,Red,122,1,38,20,0,0.402464066
7536,NW,White,190,1,58,40,1,0.183436003
7537,GP,Yellow,106,0,21,3,2,0.180698152
7538,KZN,Red,47,1,59,40,1,0.054757016
7539,GP,Green,140,0,42,24,1,0.027378508
7540,GP,White,90,1,68,50,1,0.429842574
7541,EC,Black,114,1,29,11,1,0.361396304
7542,KZN,Blue,170,1,51,33,3,0.008213552
7543,NW,White,43,0,28,10,2,0.07118412
7544,MP,Silver,130,0,63,45,3,0.405201916
7545,NW,White,124,1,28,10,0,0.287474333
7546,GP,White,187,1,84,65,1,0.082135524
7547,WC,Black,141,0,40,22,0,0.249144422
7548,GP,White,105,0,65,47,3,0.481861739
7550,EC,White,53,0,75,56,1,0.054757016
7551,KZN,Green,187,0,77,58,1,0.010951403
7552,WC,Red,130,1,33,14,0,0.413415469
7553,WC,White,67,1,63,45,1,0.213552361
7554,NW,White,115,0,38,19,0,0.1724846
7555,FS,Black,59,1,32,14,2,0.054757016
7556,FS,Black,292,1,35,17,0,0.164271047
7557,MP,Red,182,0,61,43,1,0.31211499
7558,WC,White,178,0,55,37,1,0.429842574
7559,GP,White,178,1,77,59,1,0.459958932
7560,GP,Black,182,1,38,19,0,0.396988364
7561,NW,White,132,0,38,19,1,0.369609856
7562,WC,White,44,1,73,55,1,0.251882272
7563,WC,Yellow,171,0,20,2,2,0.262833676
7564,FS,Red,135,0,46,28,1,0.205338809
7565,EC,Green,94,0,86,68,1,0.465434634
7566,KZN,Black,69,0,62,44,1,0.295687885
7567,EC,Black,149,0,70,51,1,0.27652293
7568,MP,Red,111,1,74,55,4,0.394250513
7569,NW,Black,233,1,74,55,0,0.339493498
7570,WC,White,148,1,28,10,1,0.48733744
7571,WC,Black,147,0,33,15,0,0.292950034
7572,WC,Blue,86,1,61,42,3,0.292950034
7573,WC,White,103,1,74,56,2,0.177960301
7574,NW,White,53,0,30,12,1,0.399726215
7575,GP,Red,212,1,41,22,0,0.405201916
7576,WC,Black,43,0,24,5,2,0.114989733
